"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","article_level","filter_type","filler_plot","context_type","exclude_RegimeRepeatedReading","only_RegimeRepeatedReading","Regular","regime_plot"
"101",21,1.27054271746355e-118,2.21261965343018e-25,"Hunting",0,"linear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"102",22,1.74331213860313e-105,1.39312768477613e-26,"Hunting",0,"linear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"103",23,9.61073051039094e-119,2.80523801729567e-25,"Hunting",0,"linear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"104",24,1.03962537313562e-103,1.65661228796433e-30,"Hunting",0,"linear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"105",25,6.21290133510055e-107,4.30687418113032e-28,"Hunting",0,"linear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"106",26,6.06350870915343e-128,1.25261502754856e-32,"Hunting",0,"linear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"107",27,1.52059994163541e-118,1.68851953848205e-21,"Hunting",0,"linear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"108",28,3.46602016589909e-132,1.89211293763932e-24,"Hunting",0,"linear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"109",29,1.58064561980577e-126,5.42327975854216e-32,"Hunting",0,"linear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"110",30,5.18947013518807e-100,1.22488948801791e-37,"Hunting",0,"linear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"111",31,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"112",32,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"113",33,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"114",34,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"115",35,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"116",36,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"117",37,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"118",38,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"119",39,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
