,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,corrected_surp_p_val,corrected_prev_surp_p_val
156,157,37,8.80380568113459e-07,0.631127191635689,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,control_context,8.80380568113459e-06,1.0
157,158,38,3.23093336529467e-08,0.138510371529421,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,control_context,3.23093336529467e-07,1.0
158,159,39,0.0066542166115005,0.0514603427390978,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,control_context,0.06654216611500499,0.5146034273909781
159,160,40,6.23302001789838e-07,0.498331291960176,Hunting,1,nonlinear,True,fillQfr-fillP-fillQ-P,control_context,6.23302001789838e-06,1.0
160,161,1,0.0897477958253773,0.415169975798507,Gathering,1,linear,True,P-P,regime_context,0.897477958253773,1.0
161,162,2,0.054387859117476,0.750917935634273,Gathering,1,linear,True,P-P,regime_context,0.54387859117476,1.0
162,163,3,0.313016443179199,0.98557595798482,Gathering,1,linear,True,P-P,regime_context,1.0,1.0
163,164,4,0.337811172965928,0.572002931609082,Gathering,1,linear,True,P-P,regime_context,1.0,1.0
164,165,5,0.0513496694306136,0.647982913347348,Gathering,1,linear,True,P-P,regime_context,0.513496694306136,1.0
165,166,6,0.258383416618399,0.235579770035131,Gathering,1,linear,True,P-P,regime_context,1.0,1.0
166,167,7,0.0814525882383743,0.506858593539867,Gathering,1,linear,True,P-P,regime_context,0.814525882383743,1.0
167,168,8,0.0745870973482232,0.57128777265264,Gathering,1,linear,True,P-P,regime_context,0.7458709734822321,1.0
168,169,9,0.208013217412346,0.25360234964466,Gathering,1,linear,True,P-P,regime_context,1.0,1.0
169,170,10,0.771175504689873,0.838626041287308,Gathering,1,linear,True,P-P,regime_context,1.0,1.0
170,171,11,0.303273775679059,0.237711857368802,Gathering,1,nonlinear,True,P-P,regime_context,1.0,1.0
171,172,12,0.783977083863835,0.066053484707523,Gathering,1,nonlinear,True,P-P,regime_context,1.0,0.6605348470752299
172,173,13,0.478209740310452,0.0021388185898005,Gathering,1,nonlinear,True,P-P,regime_context,1.0,0.021388185898005
173,174,14,0.0589288014786836,0.0013525092470859,Gathering,1,nonlinear,True,P-P,regime_context,0.589288014786836,0.013525092470859
174,175,15,0.0772081843906436,0.570951420217802,Gathering,1,nonlinear,True,P-P,regime_context,0.772081843906436,1.0
175,176,16,0.366592854241248,0.107342275551817,Gathering,1,nonlinear,True,P-P,regime_context,1.0,1.0
176,177,17,0.404974297394514,1.81388441518604e-05,Gathering,1,nonlinear,True,P-P,regime_context,1.0,0.000181388441518604
177,178,18,0.320593134521428,0.190200574577014,Gathering,1,nonlinear,True,P-P,regime_context,1.0,1.0
178,179,19,0.314328555787839,0.0622333827552314,Gathering,1,nonlinear,True,P-P,regime_context,1.0,0.622333827552314
179,180,20,0.0374253854494442,0.10261220491589,Gathering,1,nonlinear,True,P-P,regime_context,0.37425385449444204,1.0
180,181,21,0.3711512415683,0.276580743955426,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1.0,1.0
181,182,22,0.947547808854736,0.0001163155188998,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1.0,0.001163155188998
182,183,23,0.228286012005197,0.0679780047825896,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1.0,0.679780047825896
183,184,24,0.885891751667064,0.0032700886879854,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1.0,0.032700886879854
184,185,25,0.477359437179141,0.411358267396694,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1.0,1.0
185,186,26,0.555650627525013,0.311694533000261,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1.0,1.0
186,187,27,0.0451141793097544,0.377264070258529,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,0.451141793097544,1.0
187,188,28,0.962123983348721,0.12908387204844,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1.0,1.0
188,189,29,0.155096823670078,0.924876869933592,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1.0,1.0
189,190,30,0.512207191607044,0.0661254275718788,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1.0,0.6612542757187879
190,191,31,0.868417321182282,0.270271545477357,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1.0,1.0
191,192,32,0.306550061863332,0.343931078394742,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1.0,1.0
192,193,33,0.259198345869964,0.247134999140606,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1.0,1.0
193,194,34,0.281250028908904,0.911385490657719,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1.0,1.0
194,195,35,0.211965136390603,0.48334446903104,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1.0,1.0
195,196,36,0.0983372611897069,0.289069619042472,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,0.9833726118970689,1.0
196,197,37,0.621588528511255,0.722456803852775,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1.0,1.0
197,198,38,0.916595274840824,0.142189541293164,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1.0,1.0
198,199,39,0.258389908308492,0.158554168195884,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1.0,1.0
199,200,40,0.402577985213196,0.473366963834549,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1.0,1.0
