"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","context_type"
"118",18,0,0.0889684307057767,"Gathering",1,"nonlinear",TRUE,"fillP-P","control_context"
"119",19,0,0.0310145467868714,"Gathering",1,"nonlinear",TRUE,"fillP-P","control_context"
"120",20,0,0.104395116993839,"Gathering",1,"nonlinear",TRUE,"fillP-P","control_context"
"121",21,1.89363307672948e-118,6.89066269908553e-32,"Hunting",0,"linear",TRUE,"fillQ-P","control_context"
"122",22,1.8012540848919e-116,2.92870531626144e-23,"Hunting",0,"linear",TRUE,"fillQ-P","control_context"
"123",23,2.06708022432557e-114,1.62904650287563e-28,"Hunting",0,"linear",TRUE,"fillQ-P","control_context"
"124",24,3.70984369354026e-97,8.77661264672375e-26,"Hunting",0,"linear",TRUE,"fillQ-P","control_context"
"125",25,2.37623973413989e-120,1.92187910493287e-25,"Hunting",0,"linear",TRUE,"fillQ-P","control_context"
"126",26,2.59185238877958e-117,3.31526736906863e-28,"Hunting",0,"linear",TRUE,"fillQ-P","control_context"
"127",27,3.67915011012707e-122,1.70573428146378e-26,"Hunting",0,"linear",TRUE,"fillQ-P","control_context"
"128",28,2.16359144923568e-105,2.62803256973253e-30,"Hunting",0,"linear",TRUE,"fillQ-P","control_context"
"129",29,4.47052402346424e-123,1.1362737718787e-26,"Hunting",0,"linear",TRUE,"fillQ-P","control_context"
"130",30,2.10386237920033e-100,2.97598571079949e-23,"Hunting",0,"linear",TRUE,"fillQ-P","control_context"
"131",31,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","control_context"
"132",32,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","control_context"
"133",33,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","control_context"
"134",34,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","control_context"
"135",35,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","control_context"
"136",36,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","control_context"
"137",37,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","control_context"
"138",38,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","control_context"
"139",39,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","control_context"
"140",40,0,0,"Hunting",0,"nonlinear",TRUE,"fillQ-P","control_context"
"141",21,6.59012138552263e-06,0.535980051064916,"Hunting",1,"linear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"142",22,1.61068818022183e-06,0.649117707674177,"Hunting",1,"linear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"143",23,1.1148703278842e-05,0.885781118017427,"Hunting",1,"linear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"144",24,2.04675751021559e-07,0.738576866992188,"Hunting",1,"linear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"145",25,1.32881125871305e-05,0.0795859247856692,"Hunting",1,"linear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"146",26,3.33799868587139e-10,0.190286257696383,"Hunting",1,"linear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"147",27,3.16145264007404e-06,0.333045836476434,"Hunting",1,"linear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"148",28,7.20092042851773e-06,0.252460301985865,"Hunting",1,"linear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"149",29,0.00220140193266531,0.761560080070988,"Hunting",1,"linear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"150",30,4.64147804155665e-08,0.047205727455397,"Hunting",1,"linear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
