,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,regime_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,filler_plot,corrected_surp_p_val,corrected_prev_surp_p_val
121,122,22,3.31612181871863e-109,1.02228384615242e-23,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,3.31612181871863e-108,1.02228384615242e-22
122,123,23,9.43292277103934e-95,2.17599319776919e-27,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,9.43292277103934e-94,2.17599319776919e-26
123,124,24,5.60848370385471e-102,4.80255494272002e-19,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,5.60848370385471e-101,4.8025549427200206e-18
124,125,25,1.17406636599655e-96,9.47897423323831e-26,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,1.17406636599655e-95,9.47897423323831e-25
125,126,26,8.86970662189409e-90,6.20825628435019e-26,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,8.86970662189409e-89,6.20825628435019e-25
126,127,27,7.87077911748021e-90,1.5819268268626e-25,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,7.87077911748021e-89,1.5819268268626e-24
127,128,28,3.4876201761425003e-99,5.50534569605662e-27,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,3.4876201761425005e-98,5.50534569605662e-26
128,129,29,1.21887233224439e-102,3.57573632716203e-27,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,1.21887233224439e-101,3.57573632716203e-26
129,130,30,8.78015099123638e-100,2.97108231114666e-27,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,8.78015099123638e-99,2.97108231114666e-26
130,131,31,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
131,132,32,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
132,133,33,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
133,134,34,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
134,135,35,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
135,136,36,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
136,137,37,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
137,138,38,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
138,139,39,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
139,140,40,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
140,141,1,7.89455366209111e-06,0.437150564672503,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,7.89455366209111e-05,1.0
141,142,2,0.0002566354623745,0.525575102990669,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.002566354623745,1.0
142,143,3,0.0002311211993848,0.464389437939284,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.002311211993848,1.0
143,144,4,4.22437862364083e-05,0.869480400647979,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.000422437862364083,1.0
144,145,5,2.94411392507935e-05,0.464936170368944,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.000294411392507935,1.0
145,146,6,0.0137067844937536,0.593343949449426,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.137067844937536,1.0
146,147,7,1.30528864198873e-05,0.933950421452426,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.000130528864198873,1.0
147,148,8,0.0213169189498568,0.167193912016265,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.213169189498568,1.0
148,149,9,0.0177632777447152,0.322588023628113,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.177632777447152,1.0
149,150,10,0.0001330480989828,0.337496748423147,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.001330480989828,1.0
150,151,11,0.0491094834809603,4.82168711022912e-05,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,0.49109483480960303,0.000482168711022912
