,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,regime_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,filler_plot,corrected_surp_p_val,corrected_prev_surp_p_val
84,85,25,3.1165055045323e-121,9.50777268207133e-23,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,3.1165055045323005e-120,9.50777268207133e-22
85,86,26,3.2811252554557303e-106,1.55301153171928e-32,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,3.28112525545573e-105,1.55301153171928e-31
86,87,27,4.31820352710841e-104,2.24985670556129e-37,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,4.31820352710841e-103,2.24985670556129e-36
87,88,28,1.79209967749146e-105,2.83115124557473e-33,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,1.7920996774914602e-104,2.83115124557473e-32
88,89,29,2.48029810222025e-106,2.0684615513430002e-27,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,2.48029810222025e-105,2.068461551343e-26
89,90,30,6.6992910554352e-108,2.70944175973919e-28,Hunting,0,linear,True,Q-P,regime_context,1,1,0,1,0,6.6992910554352e-107,2.7094417597391897e-27
90,91,31,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
91,92,32,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
92,93,33,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
93,94,34,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
94,95,35,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
95,96,36,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
96,97,37,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
97,98,38,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
98,99,39,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
99,100,40,0.0,0.0,Hunting,0,nonlinear,True,Q-P,regime_context,1,1,0,1,0,0.0,0.0
100,101,1,1.4760694773357e-153,9.53720132760675e-19,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,1.4760694773357001e-152,9.537201327606751e-18
101,102,2,2.480484924592e-142,7.69597567063428e-35,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,2.4804849245919998e-141,7.69597567063428e-34
102,103,3,1.30289820013154e-154,6.2475152583553e-18,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,1.30289820013154e-153,6.247515258355301e-17
103,104,4,7.368275184659681e-151,2.80586040526417e-26,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,7.368275184659681e-150,2.8058604052641698e-25
104,105,5,8.90463845593424e-145,6.511977484195091e-23,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,8.90463845593424e-144,6.51197748419509e-22
105,106,6,7.25230504110019e-151,7.0930572902967e-23,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,7.252305041100191e-150,7.0930572902967e-22
106,107,7,1.31297933133711e-155,3.88295063045841e-29,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,1.31297933133711e-154,3.88295063045841e-28
107,108,8,2.95579721625874e-146,1.43468736371895e-21,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,2.9557972162587398e-145,1.43468736371895e-20
108,109,9,3.71856119675402e-151,2.37405936733957e-24,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,3.71856119675402e-150,2.37405936733957e-23
109,110,10,1.7479881274979098e-168,4.18978196208385e-24,Gathering,0,linear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,1.74798812749791e-167,4.18978196208385e-23
110,111,11,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
111,112,12,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
112,113,13,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
113,114,14,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
114,115,15,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
115,116,16,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
116,117,17,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
117,118,18,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
118,119,19,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
119,120,20,0.0,0.0,Gathering,0,nonlinear,True,instFirstReadP-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
120,121,21,4.4931199936906705e-109,7.1442671697264595e-34,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,4.493119993690671e-108,7.14426716972646e-33
121,122,22,2.46565404157434e-107,2.4775966210700397e-30,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,2.46565404157434e-106,2.4775966210700396e-29
122,123,23,5.17241946171584e-105,1.8909753306055502e-35,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,5.17241946171584e-104,1.89097533060555e-34
123,124,24,9.62761527505418e-106,2.38630439365491e-23,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,9.62761527505418e-105,2.38630439365491e-22
124,125,25,3.32206737097931e-102,5.881644339517339e-29,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,3.32206737097931e-101,5.881644339517339e-28
125,126,26,2.8949246905621197e-125,4.20150530185653e-29,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,2.8949246905621197e-124,4.20150530185653e-28
126,127,27,9.20368304059575e-101,2.42090322858073e-28,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,9.203683040595749e-100,2.42090322858073e-27
127,128,28,6.38007799608561e-107,1.12386419522274e-31,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,6.38007799608561e-106,1.1238641952227401e-30
128,129,29,3.08818295359166e-121,2.92546234297568e-30,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,3.08818295359166e-120,2.92546234297568e-29
129,130,30,1.53281512157022e-103,1.56120134024147e-32,Hunting,0,linear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,1.5328151215702199e-102,1.56120134024147e-31
130,131,31,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
131,132,32,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
132,133,33,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
133,134,34,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
