"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","article_level","filter_type","regime_plot","context_type","exclude_RegimeRepeatedReading","only_RegimeRepeatedReading","Regular","filler_plot"
"141",1,0.000936406376128439,0.844125036461963,"Gathering",1,"linear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"142",2,1.88897049817818e-06,0.508541263602458,"Gathering",1,"linear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"143",3,7.76892432970131e-06,0.496240071020345,"Gathering",1,"linear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"144",4,0.000572459801249066,0.845217460586277,"Gathering",1,"linear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"145",5,3.0947046928322e-05,0.320272276179314,"Gathering",1,"linear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"146",6,0.000114746902492674,0.727379096569213,"Gathering",1,"linear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"147",7,6.34665104170693e-05,0.69352272390071,"Gathering",1,"linear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"148",8,0.000145591080593315,0.863791523801138,"Gathering",1,"linear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"149",9,0.00998924554760712,0.854192605070637,"Gathering",1,"linear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"150",10,0.00686606142852161,0.855464857080173,"Gathering",1,"linear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"151",11,0.0309522743294899,0.000141951353977154,"Gathering",1,"nonlinear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"152",12,0.598480210822047,0,"Gathering",1,"nonlinear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"153",13,0.0670023247634979,1.27059984250666e-06,"Gathering",1,"nonlinear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"154",14,0.131941193375311,1.24976955728773e-06,"Gathering",1,"nonlinear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"155",15,0.894124517138584,1.17568268381829e-06,"Gathering",1,"nonlinear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
"156",16,0.00112411820701042,3.40933372111607e-06,"Gathering",1,"nonlinear",TRUE,"P-P","paragraph","only_RegimeRepeatedReading",1,"regime_context",0,1,1,0
