"","X","has_preview_condition","reread_condition","linear","p_val","surp_column","model_id","model_family","model_size","model_size_milions","model_name_with_size","ppl"
"72",4,"Hunting",1,"nonlinear",0.474,"facebook-opt-350m-Surprisal-Context-P","facebook-opt-350m","OPT","350M",350,"350M OPT",25.5409908294678
"73",1,"Gathering",0,"nonlinear",0.005,"facebook-opt-6.7b-Surprisal-Context-P","facebook-opt-6.7b","OPT","6.7B",6700,"6.7B OPT",15.0806980133057
"74",2,"Gathering",1,"nonlinear",0.127,"facebook-opt-6.7b-Surprisal-Context-P","facebook-opt-6.7b","OPT","6.7B",6700,"6.7B OPT",15.0806980133057
"75",3,"Hunting",0,"nonlinear",0.001,"facebook-opt-6.7b-Surprisal-Context-P","facebook-opt-6.7b","OPT","6.7B",6700,"6.7B OPT",15.0806980133057
"76",4,"Hunting",1,"nonlinear",0.114,"facebook-opt-6.7b-Surprisal-Context-P","facebook-opt-6.7b","OPT","6.7B",6700,"6.7B OPT",15.0806980133057
"77",1,"Gathering",0,"nonlinear",0,"google-gemma-2-9b-Surprisal-Context-P","google-gemma-2-9b","Gemma","9B",9000,"9B Gemma-2",12.0823450088501
"78",2,"Gathering",1,"nonlinear",0,"google-gemma-2-9b-Surprisal-Context-P","google-gemma-2-9b","Gemma","9B",9000,"9B Gemma-2",12.0823450088501
"79",3,"Hunting",0,"nonlinear",0,"google-gemma-2-9b-Surprisal-Context-P","google-gemma-2-9b","Gemma","9B",9000,"9B Gemma-2",12.0823450088501
"80",4,"Hunting",1,"nonlinear",0.117,"google-gemma-2-9b-Surprisal-Context-P","google-gemma-2-9b","Gemma","9B",9000,"9B Gemma-2",12.0823450088501
"81",1,"Gathering",0,"nonlinear",0,"google-gemma-7b-Surprisal-Context-P","google-gemma-7b","Gemma","7B",7000,"7B Gemma",11.5546369552612
"82",2,"Gathering",1,"nonlinear",0.026,"google-gemma-7b-Surprisal-Context-P","google-gemma-7b","Gemma","7B",7000,"7B Gemma",11.5546369552612
"83",3,"Hunting",0,"nonlinear",0.002,"google-gemma-7b-Surprisal-Context-P","google-gemma-7b","Gemma","7B",7000,"7B Gemma",11.5546369552612
"84",4,"Hunting",1,"nonlinear",0.091,"google-gemma-7b-Surprisal-Context-P","google-gemma-7b","Gemma","7B",7000,"7B Gemma",11.5546369552612
